iter	Passed	Remaining
445	1124	1396
446	1127	1394
447	1128	1390
448	1130	1386
449	1132	1384
450	1134	1380
451	1136	1377
452	1137	1374
453	1147	1379
454	1149	1376
455	1151	1373
456	1153	1370
457	1154	1366
458	1158	1365
459	1159	1361
460	1161	1357
461	1162	1353
462	1163	1349
463	1165	1346
464	1167	1343
465	1168	1339
466	1170	1336
467	1172	1332
468	1173	1329
469	1175	1325
470	1176	1321
471	1178	1318
472	1179	1314
473	1181	1310
474	1182	1307
475	1183	1303
476	1187	1301
477	1190	1299
478	1191	1296
479	1193	1292
480	1194	1288
481	1196	1285
482	1198	1282
483	1201	1281
484	1203	1277
485	1204	1274
486	1206	1270
487	1208	1267
488	1209	1264
489	1211	1260
490	1213	1257
491	1214	1254
492	1216	1251
493	1218	1248
494	1219	1244
495	1221	1241
496	1223	1238
497	1225	1235
498	1227	1232
499	1230	1230
500	1232	1227
501	1234	1224
502	1235	1221
503	1237	1217
504	1238	1214
505	1240	1211
506	1241	1207
507	1243	1204
508	1250	1206
509	1252	1203
510	1254	1200
511	1255	1196
512	1257	1193
513	1258	1190
514	1261	1188
515	1263	1185
516	1265	1182
517	1273	1185
518	1276	1183
519	1278	1179
520	1279	1176
521	1284	1176
522	1285	1172
523	1287	1169
524	1288	1166
525	1302	1174
526	1305	1171
527	1308	1170
528	1310	1166
529	1311	1163
530	1314	1161
531	1316	1158
532	1318	1155
533	1320	1152
534	1324	1151
535	1327	1148
536	1328	1145
537	1337	1148
538	1340	1146
539	1342	1143
540	1344	1140
541	1346	1137
542	1348	1134
543	1349	1131
544	1351	1128
545	1353	1125
546	1356	1123
547	1358	1120
548	1360	1117
549	1362	1114
550	1363	1111
551	1365	1107
552	1366	1104
553	1368	1101
554	1372	1100
555	1373	1097
556	1375	1094
557	1377	1091
558	1378	1087
559	1380	1084
560	1382	1081
561	1385	1079
562	1387	1076
563	1389	1073
564	1391	1070
565	1392	1067
566	1395	1065
567	1396	1062
568	1398	1059
569	1401	1057
570	1402	1053
571	1404	1050
572	1405	1047
573	1406	1044
574	1408	1041
575	1410	1038
576	1411	1035
577	1413	1032
578	1417	1030
579	1418	1027
580	1420	1024
581	1421	1021
582	1423	1017
583	1424	1014
584	1426	1012
585	1428	1009
586	1432	1007
587	1434	1004
588	1435	1001
589	1436	998
590	1439	996
591	1440	993
592	1442	990
593	1444	987
594	1449	986
595	1451	983
596	1452	980
597	1454	977
598	1455	974
599	1456	971
600	1458	968
601	1459	965
602	1462	963
603	1464	960
604	1466	957
605	1467	954
606	1468	950
607	1482	956
608	1484	953
609	1485	950
610	1487	947
611	1489	944
612	1490	941
613	1493	939
614	1495	936
615	1497	933
616	1498	930
617	1500	927
618	1501	924
619	1503	921
620	1504	918
621	1506	915
622	1509	913
623	1511	910
624	1513	907
625	1514	905
626	1516	902
627	1518	899
628	1519	896
629	1521	893
630	1523	891
631	1525	888
632	1527	885
633	1528	882
634	1530	879
635	1532	876
636	1534	874
637	1535	871
638	1538	869
639	1540	866
640	1541	863
641	1543	860
642	1544	857
643	1547	855
644	1549	852
645	1551	849
646	1554	847
647	1555	845
648	1557	842
649	1558	839
650	1560	836
651	1561	833
652	1563	830
653	1565	828
654	1566	825
655	1568	822
656	1570	819
657	1571	816
658	1573	814
659	1574	811
660	1578	809
661	1579	806
662	1581	803
663	1583	801
664	1585	798
665	1586	795
666	1588	792
667	1589	790
668	1592	787
669	1594	785
670	1595	782
671	1597	779
672	1598	776
673	1599	773
674	1601	770
675	1602	768
676	1604	765
677	1606	763
678	1608	760
679	1610	757
680	1611	754
681	1613	752
682	1615	749
683	1617	747
684	1618	744
685	1621	742
686	1623	739
687	1625	737
688	1627	734
689	1629	732
690	1630	729
691	1632	726
692	1640	726
693	1644	725
694	1646	722
695	1647	719
696	1649	716
697	1650	714
698	1654	712
699	1656	709
700	1657	706
701	1658	704
702	1660	701
703	1661	698
704	1663	696
705	1664	693
706	1666	690
707	1669	688
708	1670	685
709	1672	682
710	1673	680
711	1674	677
712	1676	674
713	1678	672
714	1680	669
715	1683	667
716	1684	665
717	1686	662
718	1688	659
719	1690	657
720	1692	654
721	1693	652
722	1695	649
723	1699	647
724	1700	645
725	1702	642
726	1704	639
727	1706	637
728	1707	634
729	1709	632
730	1711	629
731	1714	627
732	1716	625
733	1717	622
734	1719	620
735	1721	617
736	1722	614
737	1724	612
738	1725	609
739	1728	607
740	1730	604
741	1732	602
742	1733	599
743	1735	597
744	1736	594
745	1738	591
746	1739	589
747	1741	586
748	1744	584
749	1746	582
750	1747	579
751	1749	577
752	1751	574
753	1753	572
754	1755	569
755	1757	567
756	1760	565
757	1762	562
758	1763	560
759	1765	557
760	1766	554
761	1768	552
762	1770	549
763	1771	547
764	1774	545
765	1776	542
766	1778	540
767	1779	537
768	1781	535
769	1782	532
770	1784	529
771	1785	527
772	1787	524
773	1790	522
774	1792	520
775	1793	517
776	1795	515
777	1797	512
778	1799	510
779	1812	511
780	1813	508
781	1815	506
782	1816	503
783	1818	500
784	1822	499
785	1824	496
786	1826	494
787	1829	492
788	1831	489
789	1833	487
790	1836	485
791	1838	482
792	1840	480
793	1842	477
794	1844	475
795	1846	473
796	1848	470
797	1851	468
798	1853	466
799	1855	463
800	1856	461
801	1858	458
802	1860	456
803	1862	453
804	1863	451
805	1867	449
806	1868	446
807	1870	444
808	1871	441
809	1873	439
810	1875	437
811	1877	434
812	1879	432
813	1882	430
814	1884	427
815	1886	425
816	1888	422
817	1889	420
818	1891	418
819	1893	415
820	1895	413
821	1897	410
822	1898	408
823	1900	405
824	1901	403
825	1903	400
826	1904	398
827	1906	396
828	1908	393
829	1910	391
830	1912	388
831	1914	386
832	1916	384
833	1917	381
834	1919	379
835	1920	376
836	1923	374
837	1926	372
838	1928	370
839	1929	367
840	1931	365
841	1933	362
842	1934	360
843	1936	357
844	1938	355
845	1942	353
846	1944	351
847	1945	348
848	1947	346
849	1949	343
850	1950	341
851	1952	339
852	1961	338
853	1963	335
854	1964	333
855	1966	330
856	1980	330
857	1982	328
858	1983	325
859	1984	323
860	1989	321
861	1991	318
862	1993	316
863	1995	314
864	1996	311
865	1998	309
866	2000	306
867	2002	304
868	2004	302
869	2005	299
870	2007	297
871	2008	294
872	2010	292
873	2011	290
874	2014	287
875	2015	285
876	2018	283
877	2020	280
878	2022	278
879	2023	275
880	2025	273
881	2027	271
882	2029	268
883	2030	266
884	2032	264
885	2034	261
886	2036	259
887	2037	257
888	2039	254
889	2040	252
890	2042	249
891	2043	247
892	2045	245
893	2048	242
894	2049	240
895	2051	238
896	2053	235
897	2054	233
898	2056	231
899	2058	228
900	2059	226
901	2063	224
902	2065	221
903	2066	219
904	2068	217
905	2069	214
906	2071	212
907	2072	210
908	2074	207
909	2075	205
910	2078	203
911	2080	200
912	2081	198
913	2083	196
914	2084	193
915	2085	191
916	2087	188
917	2088	186
918	2090	184
919	2093	182
920	2094	179
921	2116	179
922	2118	176
923	2120	174
924	2122	172
925	2124	169
